frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
28,0,1.080,0.98,1,0.13,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.07,0.03,0.00,0.00,0.35,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,0,1.120,0.98,1,0.14,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.05,0.07,0.00,0.00,0.29,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,0,1.160,0.98,1,0.09,0.00,0.13,0.02,0.00,0.00,0.00,0.00,0.00,0.18,0.05,0.08,0.00,0.00,0.31,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,0,1.200,0.98,1,0.06,0.00,0.13,0.02,0.00,0.00,0.00,0.00,0.00,0.20,0.01,0.11,0.00,0.00,0.34,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,0,1.240,0.98,1,0.06,0.00,0.20,0.03,0.00,0.00,0.00,0.00,0.00,0.28,0.03,0.10,0.00,0.00,0.43,0.11,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,0,1.280,0.98,1,0.06,0.00,0.24,0.06,0.00,0.00,0.00,0.00,0.00,0.29,0.09,0.09,0.00,0.00,0.41,0.17,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,0,1.320,0.98,1,0.06,0.00,0.25,0.06,0.00,0.00,0.00,0.00,0.00,0.28,0.15,0.12,0.00,0.00,0.43,0.19,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,0,1.360,0.98,1,0.00,0.00,0.13,0.21,0.00,0.00,0.00,0.00,0.00,0.26,0.12,0.10,0.00,0.00,0.38,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,0,1.400,0.98,1,0.00,0.00,0.08,0.16,0.00,0.00,0.00,0.00,0.00,0.19,0.06,0.14,0.00,0.00,0.40,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,0,1.440,0.98,1,0.00,0.00,0.03,0.16,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.16,0.00,0.00,0.31,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,0,1.480,0.98,1,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.25,0.00,0.00,0.40,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,0,1.520,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.34,0.00,0.00,0.35,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,0,1.560,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.49,0.04,0.05,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,0,1.600,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.05,0.61,0.10,0.11,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
42,0,1.640,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.10,0.77,0.13,0.12,0.23,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
43,0,1.680,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.13,0.11,0.82,0.08,0.07,0.34,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
44,0,1.720,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.13,0.81,0.11,0.01,0.42,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
45,0,1.760,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.18,0.70,0.08,0.00,0.33,0.02,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
46,0,1.800,0.98,1,0.03,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.06,0.33,0.69,0.29,0.02,0.17,0.02,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
47,0,1.840,0.98,1,0.09,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.11,0.32,0.42,0.68,0.46,0.14,0.19,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,0,1.880,0.98,1,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.35,0.47,0.32,0.66,0.62,0.43,0.24,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,0,1.920,0.98,1,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.59,0.59,0.15,0.46,0.56,0.54,0.42,0.09,0.10,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
50,0,1.960,0.98,1,0.15,0.00,0.04,0.00,0.00,0.00,0.00,0.10,0.70,0.42,0.00,0.33,0.38,0.47,0.55,0.31,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
51,0,2.000,0.98,1,0.15,0.00,0.07,0.00,0.00,0.00,0.00,0.16,0.61,0.43,0.00,0.22,0.39,0.18,0.56,0.67,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
52,0,2.040,0.98,1,0.32,0.00,0.08,0.00,0.00,0.00,0.00,0.19,0.46,0.50,0.01,0.33,0.32,0.05,0.53,0.96,0.06,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
53,0,2.080,0.98,1,0.42,0.07,0.04,0.00,0.00,0.00,0.01,0.13,0.30,0.78,0.01,0.57,0.33,0.03,0.33,1.00,0.09,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
54,0,2.120,0.98,1,0.53,0.08,0.01,0.00,0.00,0.00,0.01,0.14,0.15,1.04,0.01,0.89,0.30,0.07,0.22,0.69,0.17,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
55,0,2.160,0.98,1,0.59,0.18,0.05,0.00,0.00,0.00,0.07,0.09,0.06,1.20,0.00,1.17,0.34,0.14,0.05,0.37,0.16,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
56,0,2.200,0.98,1,0.62,0.31,0.11,0.00,0.00,0.00,0.10,0.16,0.00,1.23,0.00,1.33,0.55,0.20,0.01,0.24,0.13,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
57,0,2.240,0.98,1,0.64,0.47,0.22,0.00,0.00,0.00,0.12,0.16,0.00,1.17,0.00,1.36,0.49,0.23,0.00,0.42,0.07,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
58,0,2.280,0.98,1,0.62,0.42,0.29,0.00,0.00,0.00,0.12,0.29,0.00,1.01,0.05,1.33,0.37,0.20,0.09,0.71,0.08,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
59,0,2.320,0.98,1,0.59,0.32,0.42,0.00,0.00,0.00,0.11,0.34,0.00,0.80,0.07,1.28,0.07,0.13,0.16,0.98,0.08,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
60,0,2.360,0.98,1,0.62,0.23,0.41,0.08,0.00,0.00,0.18,0.35,0.00,0.59,0.07,1.13,0.14,0.06,0.16,1.08,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
61,0,2.400,0.98,1,0.60,0.22,0.45,0.09,0.00,0.00,0.23,0.30,0.00,0.50,0.06,1.02,0.17,0.02,0.07,1.06,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
62,0,2.440,0.98,1,0.61,0.16,0.46,0.16,0.00,0.00,0.32,0.27,0.00,0.48,0.03,0.97,0.18,0.00,0.00,1.02,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
63,0,2.480,0.98,1,0.59,0.11,0.57,0.10,0.00,0.00,0.38,0.30,0.00,0.54,0.03,1.03,0.04,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
64,0,2.520,0.98,1,0.58,0.16,0.62,0.23,0.00,0.00,0.46,0.32,0.00,0.58,0.00,1.01,0.00,0.00,0.00,1.02,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
65,0,2.560,0.98,1,0.49,0.25,0.62,0.41,0.00,0.00,0.58,0.34,0.00,0.57,0.00,0.89,0.00,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
